18:58:43 INFO  : Registering command handlers for SDK TCF services
18:58:44 INFO  : Launching XSCT server: xsct.bat -interactive F:\vivado_project\nexys_port_game_mb\nexys_port_game_mb.sdk\temp_xsdb_launch_script.tcl
18:58:48 INFO  : XSCT server has started successfully.
18:58:51 INFO  : Successfully done setting XSCT server connection channel  
18:58:51 INFO  : Successfully done setting SDK workspace  
18:58:51 INFO  : Processing command line option -hwspec F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf.
19:00:33 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
19:00:33 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
19:00:35 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
20:51:23 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1757094510634,  Project:1757087702489
20:51:23 INFO  : Project design_1_wrapper_hw_platform_0's source hardware specification located at F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
20:51:36 INFO  : Copied contents of F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf into \design_1_wrapper_hw_platform_0\system.hdf.
20:51:36 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
20:51:38 INFO  : 
20:51:39 INFO  : Updating hardware inferred compiler options for port_game_mb.
20:51:39 INFO  : Clearing existing target manager status.
20:51:39 INFO  : Closing and re-opening the MSS file of ther project port_game_mb_bsp
20:51:39 INFO  : Workspace synchronized with the new hardware specification file. Cleaning dependent projects...
20:51:40 WARN  : Linker script will not be updated automatically. Users need to update it manually.
21:10:01 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:10:01 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:10:03 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:11:34 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:11:34 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:11:36 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:12:53 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:12:53 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:12:56 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:23:19 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1757096572541,  Project:1757094510634
21:23:19 INFO  : Project design_1_wrapper_hw_platform_0's source hardware specification located at F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
21:23:21 INFO  : Copied contents of F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf into \design_1_wrapper_hw_platform_0\system.hdf.
21:23:21 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
21:23:23 INFO  : 
21:23:24 INFO  : Updating hardware inferred compiler options for port_game_mb.
21:23:24 INFO  : Clearing existing target manager status.
21:23:24 INFO  : Closing and re-opening the MSS file of ther project port_game_mb_bsp
21:23:24 INFO  : Workspace synchronized with the new hardware specification file. Cleaning dependent projects...
21:23:25 WARN  : Linker script will not be updated automatically. Users need to update it manually.
21:25:12 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:25:12 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:25:15 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:27:08 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:27:08 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:27:10 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:29:48 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:29:48 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:29:50 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:30:21 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:30:21 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:30:23 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:31:34 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:31:34 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:31:37 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:32:14 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:32:14 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:32:17 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:33:59 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:33:59 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:34:01 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:35:11 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:35:11 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:35:13 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:36:51 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:36:51 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:36:54 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:50:01 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1757098174471,  Project:1757096572541
21:50:01 INFO  : Project design_1_wrapper_hw_platform_0's source hardware specification located at F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
21:50:03 INFO  : Copied contents of F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf into \design_1_wrapper_hw_platform_0\system.hdf.
21:50:03 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
21:50:05 INFO  : 
21:50:06 INFO  : Updating hardware inferred compiler options for port_game_mb.
21:50:06 INFO  : Clearing existing target manager status.
21:50:06 INFO  : Closing and re-opening the MSS file of ther project port_game_mb_bsp
21:50:06 INFO  : Workspace synchronized with the new hardware specification file. Cleaning dependent projects...
21:50:07 WARN  : Linker script will not be updated automatically. Users need to update it manually.
21:50:40 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:50:40 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
